# Configuration Mrad dMrad Jx dJx dJy dJy dJz dJy Vx dVx Vy dVy Vz dVz
# Table XV of 1211.7099
NTH165PH120 0.0292 0.0001 -0.0240 0.0023 -0.0074 0.0025 0.2523 0.0023 -100 1 171 3 -8 1
NTH165PH150 0.0292 0.0001 -0.0187 0.0023 -0.0169 0.0019 0.2523 0.0024 -107 1 157 3 164 1
# Table XVI of 1211.7099
STH45PH0 0.0380 0.0001 -0.0039 0.0022 0.0033 0.0029 0.3026 0.0035 -61 1 255 3 783 3
STH45PH30 0.0371 0.0001 -0.0046 0.0034 0.0018 0.0009 0.2988 0.0036 -14 1 261 2 -471 3
STH45PH60 0.0371 0.0001 -0.0047 0.0043 0.0013 0.0008 0.3000 0.0032 -16 2 265 2 -1335 6
STH45PH90 0.0376 0.0001 -0.0035 0.0040 0.0006 0.0010 0.3036 0.0025 -47 3 265 1 -1835 8
STH45PH120 0.0384 0.0001 -0.0003 0.0017 -0.0016 0.0011 0.3065 0.0025 -70 3 262 1 -2004 8
STH45PH150 0.0386 0.0001 0.0028 0.0009 -0.0032 0.0030 0.3068 0.0030 -89 1 254 2 -1707 5
KTH45PH0 0.0389 0.0001 -0.0026 0.0029 0.1083 0.0020 0.2797 0.0025 147 2 -486 1 -1777 4
KTH45PH30 0.0392 0.0001 -0.0670 0.0145 0.0932 0.0006 0.2802 0.0031 477 2 -314 2 -2022 3
KTH45PH60 0.0394 0.0001 -0.1143 0.0243 0.0517 0.0020 0.2809 0.0043 578 4 -7 1 -2042 5
KTH45PH90 0.0401 0.0001 -0.1251 0.0207 -0.0043 0.0024 0.2841 0.0053 469 7 327 2 -1991 3
KTH45PH105 0.0408 0.0001 -0.1166 0.0157 -0.0336 0.0030 0.2873 0.0050 295 5 447 4 -1805 2
KTH45PH120 0.0413 0.0001 -0.1011 0.0115 -0.0591 0.0029 0.2892 0.0048 63 3 430 5 -1355 2
KTH45PH135 0.0412 0.0001 -0.0809 0.0087 -0.0795 0.0028 0.2884 0.0044 -134 1 218 3 -578 1
KTH45PH150 0.0402 0.0001 -0.0565 0.0059 -0.0961 0.0045 0.2835 0.0047 -186 1 -113 2 411 3
KTH45PH165 0.0392 0.0001 -0.0290 0.0024 -0.1062 0.0045 0.2802 0.0036 -64 1 -387 1 1280 4
KTH22.5PH0 0.0385 0.0001 -0.0025 0.0038 	0.0642 0.0020 0.2929 0.0038 266 9 -43 1 	 -1641 4
KTH22.5PH30 0.0387 0.0001 -0.0320 0.0026 	0.0537 0.0015 0.2943 0.0031 337 9 130 1 	 -1315 6
KTH22.5PH60 0.0386 0.0001 -0.0531 0.0012 	0.0285 0.0047 0.2943 0.0028 231 9 296 1 	 -793 5
KTH22.5PH90 0.0380 0.0001 -0.0604 0.0001 	-0.0030 0.0058 0.2920 0.0034 33 8 315 1 	 -23 3
KTH22.5PH120 0.0375 0.0001 -0.0511 0.0017 	-0.0348 0.0070 0.2898 0.0037 -71 10 136 1	 948 1
KTH22.5PH150 0.0378 0.0001 -0.0278 0.0039 	-0.0567 0.0050 0.2903 0.0044 58 9 -55 1 	 1594 2
LPH0 0.0538 0.0002 -0.0085 0.0084 	0.0676 0.0004 0.3813 0.0071 74 10 334 6 	 2734 3
LPH30 0.0544 0.0002 -0.0460 0.0141 	0.0566 0.0011 0.3834 0.0068 -30 7 246 5 	 2181 1
LPH60 0.0545 0.0002 -0.0688 0.0132 	0.0312 0.0024 0.3840 0.0064 -51 9 150 5 	 1479 1
LPH90 0.0538 0.0002 -0.0765 0.0123 	-0.0050 0.0053 0.3819 0.0061 36 14 95 5 	 311 3
LPH120 0.0524 0.0002 -0.0639 0.0083 	-0.0371 0.0033 0.3767 0.0068 207 14 169 5	 -1473 3
LPH150 0.0525 0.0002 -0.0327 0.0004 	-0.0614 0.0021 0.3771 0.0070 231 13 341 6	 -2835 1
N9TH55PH0 0.0453 0.0001 -0.0099 0.0057 	0.0724 0.0097 0.3334 0.0057 59 2 43 3 	 499 2
N9TH55PH30 0.0458 0.0001 -0.0411 0.0061 	0.0550 0.0025 0.3362 0.0055 -49 6 68 3 	 1197 1
N9TH55PH60 0.0465 0.0001 -0.0641 0.0079 	0.0245 0.0029 0.3395 0.0055 -124 8 4 2 	 1592 1
N9TH55PH90 0.0471 0.0001 -0.0736 0.0116 	-0.0102 0.0052 0.3422 0.0052 -119 4 	-107 3 1804 4
N9TH55PH150 0.0458 0.0001 -0.0275 0.0003 	-0.0633 0.0066 0.3362 0.0045 89 1 -82 3 	 594 5
# Table XIX 1503.07536
NQ200TH30PH0 0.0323 0.0001 -0.0011 0.0002 0.0129 0.0002 0.2709 0.0027 -63 2 -178 2 390 2
NQ200TH30PH30 0.0323 0.0001 -0.0073 0.0001 0.0105 0.0002 0.2707 0.0027 -64 2 -184 2 309 2
NQ200TH30PH60 0.0322 0.0001 -0.0116 0.0001 0.0053 0.0001 0.2704 0.0027 -55 2 -190 2 152 2
NQ200TH30PH90 0.0322 0.0001 -0.0128 0.0002 -0.0013 0.0000 0.2703 0.0027 -47 2 -189 2 -46 2
NQ200TH30PH120 0.0322 0.0001 -0.0105 0.0002 -0.0076 0.0000 0.2704 0.0027 -47 2 -183 2 -238 2
