# Configuration Mrad dMrad Jx dJx dJy dJy dJz dJy Vx dVx Vy dVy Vz dVz
# Table XV of 1211.7099
NQ16TH90PH150 0.0125 0.0001 -0.0515 0.0015 -0.0580 0.0001 0.0291 0.0012 -100 4 429 2 -330 6
NQ16TH115PH0 0.0089 0.0001 0.0539 0.0010 0.0392 0.0005 0.0177 0.0011 -61 4 -481 2 79 2
NQ16TH115PH30 0.0089 0.0001 0.0270 0.0007 0.0612 0.0008 0.0172 0.0010 190 4 -441 2 76 2
NQ16TH115PH60 0.0085 0.0001 -0.0059 0.0003 0.0651 0.0011 0.0155 0.0011 196 4 -217 2 -50 2
NQ16TH115PH90 0.0085 0.0001 -0.0380 0.0004 0.0533 0.0010 0.0148 0.0013 265 2 -90 2 -56 2
NQ16TH115PH120 0.0092 0.0001 -0.0629 0.0009 0.0251 0.0006 0.0155 0.0012 445 2 250 2 130 2
NQ16TH115PH150 0.0085 0.0001 -0.0636 0.0011 -0.0056 0.0000 0.0159 0.0011 -138 2 -22 2 130 2
NQ16TH135PH0 0.0069 0.0000 0.0425 0.0005 0.0102 0.0001 0.0386 0.0006 134 2 2 2 -162 2
NQ16TH135PH30 0.0070 0.0000 0.0324 0.0004 0.0311 0.0002 0.0385 0.0006 118 2 109 2 -166 2
NQ16TH135PH60 0.0069 0.0000 0.0128 0.0002 0.0433 0.0004 0.0384 0.0008 61 2 121 2 -167 2
NQ16TH135PH90 0.0069 0.0000 -0.0104 0.0001 0.0443 0.0004 0.0384 0.0007 35 2 100 4 -163 2
NQ16TH135PH120 0.0068 0.0000 -0.0304 0.0004 0.0329 0.0004 0.0400 0.0006 201 2 39 2 -96 2
NQ16TH135PH150 0.0071 0.0000 -0.0443 0.0005 0.0110 0.0002 0.0398 0.0007 342 2 84 2 80 2
NQ16TH150PH0 0.0063 0.0000 0.0326 0.0003 0.0044 0.0001 0.0487 0.0011 226 2 50 2 -64 2
NQ16TH150PH30 0.0062 0.0000 0.0265 0.0003 0.0196 0.0003 0.0486 0.0012 175 2 81 2 -85 2
NQ16TH150PH60 0.0062 0.0000 0.0135 0.0001 0.0300 0.0004 0.0487 0.0011 133 2 101 2 -94 2
NQ16TH150PH90 0.0061 0.0001 -0.0029 0.0001 0.0326 0.0004 0.0491 0.0011 124 2 83 2 -94 2
NQ16TH150PH120 0.0061 0.0001 -0.0188 0.0002 0.0259 0.0003 0.0499 0.0011 193 2 35 2 -66 2
NQ16TH150PH150 0.0062 0.0000 -0.0303 0.0003 0.0120 0.0001 0.0496 0.0010 261 2 26 2 4 2
